# Please cite this paper in any communication about any use of Correct@TDS : 
#  Coming soon...
#  Average over 10000 waveforms. Timestamp: unknown
#  timeaxis (ps) 	 E-field
-7.397787654086993143e+02	1.852021929261356151e-03
-7.397454323611658538e+02	1.872496033448314617e-03
-7.397120993136323932e+02	1.856174670471628886e-03
-7.396787662660989326e+02	1.843811622850966654e-03
-7.396454332185655858e+02	1.864392815642310509e-03
-7.396121001710321252e+02	1.860729111950675061e-03
-7.395787671234986647e+02	1.891744519937106715e-03
-7.395454340759652041e+02	1.861144806494964467e-03
-7.395121010284317435e+02	1.882822524187528377e-03
-7.394787679808982830e+02	1.863133057117186304e-03
-7.394454349333649361e+02	1.857603817938857258e-03
-7.394121018858314756e+02	1.827522202595975630e-03
-7.393787688382980150e+02	1.815700199886891063e-03
-7.393454357907645544e+02	1.787595152257122171e-03
-7.393121027432310939e+02	1.779826830988017958e-03
-7.392787696956976333e+02	1.715081501887259210e-03
-7.392454366481642865e+02	1.640819135166239487e-03
-7.392121036006308259e+02	1.623390901519656615e-03
-7.391787705530973653e+02	1.555707095436897024e-03
-7.391454375055639048e+02	1.480241275481765416e-03
-7.391121044580304442e+02	1.438101902777226028e-03
-7.390787714104969837e+02	1.401375916993550380e-03
-7.390454383629636368e+02	1.338631106616680177e-03
-7.390121053154301762e+02	1.322590145822997781e-03
-7.389787722678967157e+02	1.299405368906581069e-03
-7.389454392203632551e+02	1.303752970691304499e-03
-7.389121061728297946e+02	1.319116947380463527e-03
-7.388787731252964477e+02	1.316507268830773144e-03
-7.388454400777629871e+02	1.362097188094346352e-03
-7.388121070302295266e+02	1.417334020629617934e-03
-7.387787739826960660e+02	1.459929720137098609e-03
-7.387454409351626055e+02	1.548045163008819830e-03
-7.387121078876291449e+02	1.620221340509483054e-03
-7.386787748400957980e+02	1.709112554348923797e-03
-7.386454417925623375e+02	1.783057717373942369e-03
-7.386121087450288769e+02	1.829043323121618469e-03
-7.385787756974954164e+02	1.935999442390130918e-03
-7.385454426499619558e+02	2.027749401913586311e-03
-7.385121096024284952e+02	2.091097081704874298e-03
-7.384787765548951484e+02	2.151008898130239277e-03
-7.384454435073616878e+02	2.213675043996967979e-03
-7.384121104598282272e+02	2.305357866506786962e-03
-7.383787774122947667e+02	2.344495246071506746e-03
-7.383454443647613061e+02	2.380154587141141038e-03
-7.383121113172278456e+02	2.419519782050527385e-03
