# Please cite this paper in any communication about any use of Correct@TDS : 
#  Coming soon...
#  Average over 10000 waveforms. Timestamp: unknown
#  timeaxis (ps) 	 E-field
-7.399787636938999640e+02	1.400084742304750010e-03
-7.399454306463665034e+02	1.359850478677345278e-03
-7.399120975988330429e+02	1.416827325250931500e-03
-7.398787645512995823e+02	1.336602964564610578e-03
-7.398454315037662354e+02	1.400940064363572456e-03
-7.398120984562327749e+02	1.364292785488143952e-03
-7.397787654086993143e+02	1.357975891080809815e-03
-7.397454323611658538e+02	1.435064903830050300e-03
-7.397120993136323932e+02	1.342908482539830221e-03
-7.396787662660989326e+02	1.413826384509993261e-03
-7.396454332185655858e+02	1.342458594511892339e-03
-7.396121001710321252e+02	1.432037586206851660e-03
-7.395787671234986647e+02	1.354845939970039225e-03
-7.395454340759652041e+02	1.445591819395198371e-03
-7.395121010284317435e+02	1.374056044916988767e-03
-7.394787679808982830e+02	1.336885247806627762e-03
-7.394454349333649361e+02	1.397364713460445785e-03
-7.394121018858314756e+02	1.490897391676259493e-03
-7.393787688382980150e+02	1.327027192536429446e-03
-7.393454357907645544e+02	1.532489527118990544e-03
-7.393121027432310939e+02	1.404133596758896756e-03
-7.392787696956976333e+02	1.387657934699047801e-03
-7.392454366481642865e+02	1.413571681895116295e-03
-7.392121036006308259e+02	1.427566446211308909e-03
-7.391787705530973653e+02	1.444951347281223618e-03
-7.391454375055639048e+02	1.411832991130985895e-03
-7.391121044580304442e+02	1.450725078550122067e-03
-7.390787714104969837e+02	1.395244896182664448e-03
-7.390454383629636368e+02	1.488012274385505564e-03
-7.390121053154301762e+02	1.431646759974144340e-03
-7.389787722678967157e+02	1.438797734966836212e-03
-7.389454392203632551e+02	1.446445962119551542e-03
-7.389121061728297946e+02	1.491954929481950805e-03
-7.388787731252964477e+02	1.452895091409912897e-03
-7.388454400777629871e+02	1.465873955786353841e-03
-7.388121070302295266e+02	1.507440760707480813e-03
-7.387787739826960660e+02	1.468074658436307849e-03
-7.387454409351626055e+02	1.497199410294525190e-03
-7.387121078876291449e+02	1.452493017442116775e-03
-7.386787748400957980e+02	1.454051133596585658e-03
-7.386454417925623375e+02	1.461274835989736240e-03
-7.386121087450288769e+02	1.513333825750389026e-03
-7.385787756974954164e+02	1.499497736985814416e-03
-7.385454426499619558e+02	1.503049226514626725e-03
-7.385121096024284952e+02	1.502605825425487466e-03
-7.384787765548951484e+02	1.519205688236228459e-03
-7.384454435073616878e+02	1.488507585811402667e-03
-7.384121104598282272e+02	1.506053739199241783e-03
-7.383787774122947667e+02	1.577865168454218583e-03
-7.383454443647613061e+02	1.495201175446793851e-03
-7.383121113172278456e+02	1.499465834381521080e-03
-7.382787782696944987e+02	1.594844156226059642e-03
-7.382454452221610381e+02	1.497380167523500475e-03
-7.382121121746275776e+02	1.632047792890258409e-03
-7.381787791270941170e+02	1.548175653311701554e-03
-7.381454460795606565e+02	1.627382929299632823e-03
-7.381121130320271959e+02	1.554133097010756276e-03
-7.380787799844938490e+02	1.572505841661590333e-03
-7.380454469369603885e+02	1.571888513041092049e-03
-7.380121138894269279e+02	1.599656531035742154e-03
-7.379787808418934674e+02	1.592099042959792222e-03
-7.379454477943600068e+02	1.613034241369992522e-03
-7.379121147468265463e+02	1.595438124519244980e-03
-7.378787816992931994e+02	1.605298797185031106e-03
-7.378454486517597388e+02	1.535985186564747937e-03
-7.378121156042262783e+02	1.664358891030855549e-03
-7.377787825566928177e+02	1.574466537163972434e-03
-7.377454495091593571e+02	1.685877167877553994e-03
-7.377121164616260103e+02	1.656798461877601611e-03
-7.376787834140925497e+02	1.646023198771461894e-03
-7.376454503665590892e+02	1.619792996296590040e-03
